x,y,heading,curvature,speed
14.6333,58.1628,-1.2957,0.35971,4.251
14.9327,57.4736,-0.9602,0.527932,3.509
15.4801,56.9529,-0.5513,0.55047,3.436
16.1909,56.7,-0.2715,0.187986,4.567
16.9234,56.5511,-0.1413,0.157995,5.462
17.6698,56.4895,-0.067,0.040778,6.23
18.4179,56.4508,-0.0768,0.067001,6.909
19.163,56.3746,-0.17,0.181782,5.98
19.8902,56.1981,-0.34,0.272221,4.886
20.5659,55.8783,-0.571,0.344477,4.344
21.1367,55.3974,-0.8276,0.340664,4.368
21.5678,54.7881,-1.0664,0.297254,4.676
21.8543,54.0977,-1.2645,0.232205,5.291
22.0171,53.3671,-1.4157,0.171612,6.081
22.085,52.6213,-1.5274,0.126613,6.779
22.082,51.8724,-1.5817,0.018142,7.0
22.0687,51.1233,-1.5962,0.020731,7.0
22.0439,50.3747,-1.6253,0.056936,7.0
21.9871,49.6277,-1.6567,0.026883,7.0
21.9153,48.882,-1.6745,0.020627,7.0
21.832,48.1375,-1.6876,0.014399,7.0
21.7407,47.394,-1.6958,0.007483,7.0
21.6452,46.6509,-1.6991,0.001264,7.0
21.5489,45.908,-1.6977,0.004941,7.0
21.4555,45.1647,-1.6927,0.008502,7.0
21.3668,44.4208,-1.6865,0.008072,7.0
21.2825,43.6764,-1.6798,0.0099,7.0
21.2038,42.9314,-1.6715,0.012055,7.0
21.1319,42.1857,-1.6615,0.014582,7.0
21.068,41.4393,-1.6498,0.016671,7.0
21.0136,40.6921,-1.6366,0.018715,7.0
20.9695,39.9443,-1.6217,0.020907,7.0
20.9373,39.1958,-1.6053,0.023096,7.0
20.9179,38.4469,-1.5871,0.025286,7.0
20.9128,37.6978,-1.5674,0.027479,7.0
20.923,36.9488,-1.546,0.029673,7.0
20.95,36.2001,-1.5228,0.032187,7.0
20.9949,35.4523,-1.4974,0.035667,7.0
21.0598,34.706,-1.4703,0.036565,6.925
21.1452,33.9618,-1.4356,0.05606,5.998
21.2616,33.2221,-1.3575,0.151966,4.895
21.4622,32.4981,-1.096,0.542587,3.461
21.933,31.9159,-0.6611,0.607371,3.271
22.6139,31.6022,-0.4703,0.103444,4.438
23.2649,31.2388,-0.6724,0.435465,3.863
23.7658,30.685,-0.9559,0.321689,4.495
24.1204,30.0274,-1.1781,0.27173,4.891
24.3349,29.311,-1.3672,0.233302,5.278
24.4217,28.5679,-1.5321,0.207302,5.6
24.3926,27.8203,-1.6766,0.178372,6.037
24.2641,27.083,-1.7994,0.149812,6.587
24.0538,26.3645,-1.9014,0.122409,7.0
23.7785,25.6681,-1.9832,0.095987,7.0
23.4538,24.9931,-2.046,0.071834,7.0
23.0933,24.3364,-2.089,0.04288,7.0
22.7118,23.6917,-2.115,0.026586,7.0
22.3176,23.0547,-2.1324,0.019789,7.0
21.914,22.4236,-2.1445,0.012578,7.0
21.5044,21.7963,-2.1511,0.005074,7.0
21.0924,21.1706,-2.1521,0.002414,7.0
20.6816,20.5441,-2.1474,0.010256,7.0
20.2756,19.9145,-2.1368,0.017933,7.0
19.8781,19.2795,-2.121,0.024233,7.0
19.4922,18.6374,-2.1037,0.021925,7.0
19.1169,17.9891,-2.0898,0.015183,7.0
18.749,17.3365,-2.0777,0.017117,7.0
18.3895,16.6792,-2.0639,0.019747,7.0
18.0398,16.0168,-2.0481,0.022405,7.0
17.7012,15.3485,-2.0303,0.025103,7.0
17.3752,14.674,-2.0103,0.0284,7.0
17.0637,13.9927,-1.9878,0.031681,7.0
16.7684,13.3042,-1.9634,0.03357,7.0
16.4906,12.6085,-1.9384,0.033163,7.0
16.2301,11.9061,-1.8984,0.073561,6.398
16.0088,11.191,-1.7869,0.224343,5.383
15.9104,10.4501,-1.5814,0.31945,4.511
15.993,9.6959,-1.1868,0.712157,3.021
16.459,9.0925,-0.4904,1.074805,2.459
17.2208,9.0404,0.0861,0.41086,3.9
17.9469,9.2209,0.405,0.428386,3.895
18.5802,9.6232,0.6771,0.295269,4.692
19.1101,10.156,0.8059,0.047551,5.571
19.6191,10.7056,0.8116,0.032486,6.326
20.1413,11.2426,0.7347,0.172785,5.924
20.7278,11.7073,0.5649,0.280858,4.811
21.3975,12.0388,0.3596,0.266774,4.936
22.1206,12.2309,0.202,0.154321,5.774
22.8619,12.3386,0.1159,0.07544,6.506
23.6092,12.4042,0.1555,0.180821,5.996
24.3408,12.5704,0.3134,0.2398,5.206
25.0305,12.8649,0.4476,0.117647,6.009
25.6903,13.2183,0.5461,0.145395,6.686
26.3079,13.6413,0.6478,0.12614,7.0
26.8831,14.1209,0.7362,0.109781,7.0
27.417,14.6463,0.8104,0.088439,7.0
27.915,15.2058,0.8692,0.068373,7.0
28.3836,15.7901,0.914,0.05132,7.0
28.8295,16.392,0.9487,0.04132,7.0
29.2566,17.0075,0.9772,0.03472,7.0
29.6675,17.6339,1.0009,0.028668,7.0
30.0649,18.2689,1.0204,0.023228,7.0
30.4512,18.9108,1.0355,0.017165,7.0
30.8292,19.5576,1.0465,0.01227,7.0
31.2012,20.2078,1.0545,0.009072,7.0
31.5688,20.8606,1.0608,0.007764,7.0
31.9326,21.5155,1.0664,0.007101,7.0
32.293,22.1723,1.0715,0.006439,7.0
32.6501,22.8308,1.0761,0.005903,7.0
33.0043,23.491,1.0802,0.005136,7.0
33.356,24.1524,1.0838,0.004415,7.0
33.7055,24.8151,1.0869,0.00376,7.0
34.0531,25.4787,1.0894,0.003104,7.0
34.3992,26.1431,1.0915,0.002449,7.0
34.7441,26.8082,1.0931,0.001794,7.0
35.0881,27.4737,1.0942,0.001138,7.0
35.4315,28.1395,1.0948,0.000475,7.0
35.7746,28.8054,1.0949,0.000224,7.0
36.1179,29.4713,1.0945,0.000884,7.0
36.4616,30.137,1.0936,0.00154,7.0
36.8061,30.8022,1.0922,0.002196,7.0
37.1517,31.4669,1.0903,0.002851,7.0
37.4987,32.1308,1.0879,0.003506,7.0
37.8474,32.7939,1.085,0.004161,7.0
38.1982,33.4558,1.0816,0.005001,7.0
38.5515,34.1164,1.0776,0.005534,7.0
38.9075,34.7756,1.0733,0.006181,7.0
39.2666,35.4331,1.0684,0.006842,7.0
39.629,36.0887,1.063,0.007505,7.0
39.9951,36.7423,1.0571,0.008281,7.0
40.3653,37.3936,1.05,0.010767,7.0
40.7407,38.0419,1.0401,0.015496,7.0
41.1236,38.6858,1.0262,0.021774,7.0
41.5169,39.3234,1.0087,0.024737,7.0
41.922,39.9536,0.9888,0.028569,7.0
42.3405,40.5749,0.9617,0.043706,7.0
42.7791,41.1822,0.9213,0.064152,7.0
43.2463,41.7676,0.8653,0.085387,7.0
43.7499,42.322,0.7916,0.111397,7.0
44.298,42.8324,0.6997,0.133959,6.966
44.8942,43.2852,0.5916,0.154506,6.486
45.5385,43.666,0.4878,0.122582,5.94
46.2161,43.9866,0.337,0.279163,4.825
46.946,44.1592,0.182,0.133946,5.682
47.6893,44.2577,0.1171,0.039168,6.425
48.4344,44.3342,0.1408,0.102583,6.982
49.171,44.4677,0.2455,0.176769,6.064
49.8839,44.6974,0.365,0.142516,6.753
50.5679,45.0015,0.478,0.158957,6.395
51.2108,45.3847,0.5977,0.160832,6.357
51.8029,45.8424,0.7197,0.165027,6.276
52.3342,46.3695,0.8458,0.17154,6.156
52.7936,46.9605,0.9795,0.185438,5.92
53.1668,47.6095,1.1225,0.196481,5.752
53.4407,48.3059,1.276,0.213511,5.518
53.6001,49.0365,1.421,0.173122,5.688
53.6638,49.7838,1.6057,0.319322,4.512
53.548,50.5245,1.8154,0.238327,5.222
53.3019,51.2338,1.8546,0.134105,5.167
53.1288,51.9617,1.6405,0.438782,3.849
53.1994,52.7013,1.2122,0.708306,3.029
53.6296,53.2977,0.6531,0.783487,2.88
54.3189,53.5579,0.1596,0.536168,3.482
55.0642,53.5286,-0.1014,0.166234,4.591
55.8022,53.4069,-0.0467,0.315296,4.298
56.5394,53.4597,0.4809,1.041503,2.498
57.0288,54.0469,1.0714,0.513989,3.556
57.2533,54.7683,1.3023,0.088732,4.66
57.4276,55.4966,1.3228,0.034786,5.541
57.6208,56.22,1.2407,0.185015,5.484
57.911,56.9076,1.037,0.358735,4.257
58.3738,57.4941,0.8314,0.190501,5.204
58.9161,58.0097,0.7152,0.119926,6.005
59.5031,58.4751,0.6638,0.017371,6.712
60.0961,58.9328,0.6777,0.054138,6.364
60.6712,59.4151,0.7839,0.228294,5.336
61.1561,59.9896,0.9979,0.342068,4.359
61.4775,60.6652,1.2619,0.359187,4.254
61.6073,61.4036,1.6897,0.769807,2.906
61.3071,62.0913,2.2892,0.800912,2.849
60.663,62.4837,2.7176,0.328355,4.143
59.9478,62.7048,2.8864,0.119087,5.114
59.2152,62.8614,2.9345,0.009366,5.928
58.4815,63.0128,2.9457,0.020561,6.643
57.7456,63.153,2.9716,0.048614,7.0
57.0053,63.2662,2.9972,0.019634,7.0
56.2633,63.3685,3.0171,0.033643,7.0
55.5191,63.4521,3.0564,0.071142,7.0
54.7714,63.496,3.1085,0.068154,7.0
54.0223,63.5016,-3.1178,0.083509,7.0
53.2744,63.4604,-3.051,0.09496,7.0
52.5314,63.3661,-2.9753,0.107015,7.0
51.7985,63.2127,-2.8901,0.120458,7.0
51.0825,62.9939,-2.7944,0.135242,6.933
50.3924,62.7039,-2.6942,0.132152,7.0
