x,y,heading,curvature,speed
-50.8935,15.4318,-1.0669,0.00869,7.0
-50.6984,15.0792,-1.0634,0.008591,7.0
-50.502,14.7274,-1.06,0.008501,7.0
-50.3044,14.3763,-1.0566,0.008418,7.0
-50.1057,14.0258,-1.0532,0.008342,7.0
-49.9058,13.6761,-1.0499,0.00827,7.0
-49.7047,13.327,-1.0466,0.008201,7.0
-49.5025,12.9787,-1.0433,0.008133,7.0
-49.2992,12.631,-1.04,0.008066,7.0
-49.0947,12.284,-1.0368,0.007999,7.0
-48.8892,11.9376,-1.0336,0.007929,7.0
-48.6825,11.5919,-1.0304,0.007859,7.0
-48.4747,11.2469,-1.0272,0.007786,7.0
-48.2659,10.9024,-1.0241,0.007712,7.0
-48.0559,10.5587,-1.021,0.007636,7.0
-47.8449,10.2155,-1.018,0.007559,7.0
-47.6329,9.873,-1.0149,0.007481,7.0
-47.4198,9.5311,-1.0119,0.007403,7.0
-47.2056,9.1899,-1.009,0.007324,7.0
-46.9905,8.8492,-1.006,0.007245,7.0
-46.7743,8.5091,-1.0031,0.007165,7.0
-46.5571,8.1696,-1.0003,0.007085,7.0
-46.339,7.8307,-0.9974,0.007005,7.0
-46.1198,7.4924,-0.9946,0.006924,7.0
-45.8997,7.1547,-0.9918,0.006844,7.0
-45.6786,6.8175,-0.9891,0.006763,7.0
-45.4566,6.4809,-0.9864,0.006683,7.0
-45.2337,6.1448,-0.9837,0.006605,7.0
-45.0098,5.8093,-0.9811,0.006528,7.0
-44.7849,5.4743,-0.9784,0.006455,7.0
-44.5592,5.1398,-0.9758,0.006385,7.0
-44.3326,4.8059,-0.9733,0.006319,7.0
-44.1051,4.4725,-0.9707,0.006258,7.0
-43.8767,4.1396,-0.9682,0.0062,7.0
-43.6474,3.8072,-0.9657,0.006143,7.0
-43.4173,3.4753,-0.9633,0.006084,7.0
-43.1863,3.1439,-0.9608,0.006017,7.0
-42.9544,2.813,-0.9584,0.005934,7.0
-42.7217,2.4825,-0.956,0.005825,7.0
-42.4881,2.1525,-0.9537,0.005678,7.0
-42.2537,1.8229,-0.9514,0.005479,7.0
-42.0184,1.4937,-0.9493,0.005214,7.0
-41.7824,1.1649,-0.9472,0.004868,7.0
-41.5456,0.8364,-0.9454,0.004428,7.0
-41.3081,0.5081,-0.9437,0.003885,7.0
-41.0699,0.18,-0.9422,0.003235,7.0
-40.8312,-0.1479,-0.9411,0.002484,7.0
-40.592,-0.4759,-0.9402,0.001649,7.0
-40.3524,-0.8038,-0.9397,0.000763,7.0
-40.1126,-1.1319,-0.9396,0.000124,7.0
-39.8726,-1.4603,-0.9398,0.000944,7.0
-39.6326,-1.789,-0.9404,0.001607,7.0
-39.3925,-2.1181,-0.9411,0.002002,7.0
-39.1526,-2.4477,-0.9419,0.001997,7.0
-38.9127,-2.7777,-0.9426,0.001447,7.0
-38.6728,-3.1082,-0.9429,0.000192,7.0
-38.4327,-3.4391,-0.9426,0.001931,7.0
-38.1921,-3.77,-0.9411,0.005082,7.0
-37.9506,-4.1008,-0.9382,0.009396,7.0
-37.7076,-4.4309,-0.9332,0.014929,7.0
-37.4623,-4.7599,-0.9257,0.021659,7.0
-37.2139,-5.0869,-0.9152,0.029614,7.0
-36.9621,-5.4103,-0.9012,0.038918,7.0
-36.7063,-5.7281,-0.8831,0.049627,6.702
-36.4463,-6.0382,-0.8606,0.061888,6.364
-36.1815,-6.3385,-0.8331,0.075755,6.037
-35.9115,-6.6267,-0.8003,0.091208,5.725
-35.636,-6.9005,-0.7616,0.108163,5.43
-35.3547,-7.1576,-0.717,0.126445,5.158
-35.0677,-7.3959,-0.6664,0.145752,4.91
-34.775,-7.6135,-0.6097,0.165582,4.69
-34.4769,-7.8085,-0.5473,0.185129,4.502
-34.1739,-7.9798,-0.4797,0.203127,4.35
-33.866,-8.1263,-0.4078,0.217691,4.255
-33.5533,-8.2478,-0.333,0.226484,4.186
-33.235,-8.3445,-0.2569,0.228245,4.186
-32.9092,-8.417,-0.1814,0.220401,4.186
-32.5729,-8.466,-0.1091,0.20274,4.291
-32.2232,-8.4921,-0.0419,0.180083,4.435
-31.8599,-8.4959,0.0193,0.157722,4.621
-31.4845,-8.4779,0.0744,0.136572,4.836
-31.0988,-8.4391,0.1233,0.116771,5.071
-30.7054,-8.3813,0.166,0.098631,5.324
-30.3065,-8.3064,0.2025,0.082169,5.59
-29.9046,-8.2169,0.2332,0.067248,5.866
-29.5017,-8.1153,0.2581,0.053316,6.148
-29.0997,-8.0043,0.2776,0.040489,6.434
-28.6998,-7.8867,0.292,0.028643,6.722
-28.302,-7.7645,0.3017,0.017812,7.0
-27.9055,-7.6395,0.3072,0.008443,7.0
-27.5098,-7.5132,0.3091,0.000838,7.0
-27.1146,-7.387,0.3082,0.005022,7.0
-26.7196,-7.2617,0.3053,0.009217,7.0
-26.3246,-7.138,0.3009,0.01189,7.0
-25.9295,-7.0164,0.2957,0.013235,7.0
-25.5342,-6.8972,0.2902,0.013479,7.0
-25.1387,-6.7803,0.2848,0.012866,7.0
-24.743,-6.6656,0.2797,0.011641,7.0
-24.3471,-6.5529,0.2753,0.010038,7.0
-23.9513,-6.442,0.2715,0.008261,7.0
-23.5555,-6.3325,0.2685,0.006483,7.0
-23.1597,-6.2242,0.2662,0.004837,7.0
-22.7642,-6.1168,0.2645,0.003413,7.0
-22.3689,-6.01,0.2633,0.002264,7.0
-21.9738,-5.9037,0.2626,0.001406,7.0
-21.5791,-5.7978,0.2621,0.000828,7.0
-21.1847,-5.692,0.2618,0.000498,7.0
-20.7906,-5.5865,0.2616,0.000367,7.0
-20.3969,-5.4811,0.2615,0.000382,7.0
-20.0035,-5.3758,0.2613,0.000491,7.0
-19.6104,-5.2707,0.2611,0.000644,7.0
-19.2176,-5.1658,0.2608,0.000801,7.0
-18.825,-5.0611,0.2604,0.000932,7.0
-18.4328,-4.9567,0.26,0.001018,7.0
-18.0407,-4.8525,0.2596,0.001049,7.0
-17.649,-4.7485,0.2592,0.001024,7.0
-17.2575,-4.6447,0.2588,0.000948,7.0
-16.8662,-4.5412,0.2584,0.000832,7.0
-16.4752,-4.4379,0.2581,0.000686,7.0
-16.0843,-4.3348,0.2579,0.000521,7.0
-15.6938,-4.2318,0.2577,0.000347,7.0
-15.3034,-4.129,0.2576,0.000174,7.0
-14.9133,-4.0262,0.2576,6e-06,7.0
-14.5235,-3.9235,0.2576,0.000154,7.0
-14.1338,-3.8208,0.2577,0.000303,7.0
-13.7444,-3.7182,0.2579,0.000443,7.0
-13.3553,-3.6155,0.2581,0.000574,7.0
-12.9663,-3.5128,0.2583,0.000698,7.0
-12.5776,-3.41,0.2586,0.000816,7.0
-12.1891,-3.3072,0.259,0.000929,7.0
-11.8009,-3.2043,0.2594,0.001036,7.0
-11.4128,-3.1012,0.2598,0.001136,7.0
-11.025,-2.998,0.2603,0.001229,7.0
-10.6374,-2.8947,0.2608,0.001311,7.0
-10.25,-2.7912,0.2613,0.001381,7.0
-9.8628,-2.6875,0.2619,0.001437,7.0
-9.4758,-2.5837,0.2625,0.001476,7.0
-9.089,-2.4796,0.2631,0.001498,7.0
-8.7024,-2.3754,0.2637,0.0015,7.0
-8.3159,-2.271,0.2643,0.001482,7.0
-7.9296,-2.1663,0.2649,0.001446,7.0
-7.5435,-2.0615,0.2654,0.001392,7.0
-7.1575,-1.9564,0.266,0.001322,7.0
-6.7715,-1.8512,0.2665,0.001237,7.0
-6.3856,-1.7457,0.2669,0.001141,7.0
-5.9998,-1.6401,0.2674,0.001034,7.0
-5.6141,-1.5344,0.2678,0.000919,7.0
-5.2283,-1.4284,0.2681,0.000799,7.0
-4.8426,-1.3224,0.2684,0.000675,7.0
-4.4568,-1.2162,0.2687,0.000549,7.0
-4.0709,-1.1099,0.2689,0.000423,7.0
-3.685,-1.0036,0.269,0.000297,7.0
-3.299,-0.8971,0.2691,0.000172,7.0
-2.9129,-0.7906,0.2691,5e-05,7.0
-2.5266,-0.6841,0.2691,6.9e-05,7.0
-2.1402,-0.5775,0.2691,0.000184,7.0
-1.7536,-0.4709,0.269,0.000296,7.0
-1.3668,-0.3643,0.2688,0.000405,7.0
-0.9798,-0.2577,0.2687,0.00051,7.0
-0.5925,-0.1512,0.2684,0.000612,7.0
-0.205,-0.0446,0.2682,0.000711,7.0
0.1828,0.0619,0.2679,0.000809,7.0
0.5709,0.1683,0.2675,0.000906,7.0
0.9593,0.2747,0.2671,0.001004,7.0
1.3481,0.3811,0.2667,0.001105,7.0
1.7373,0.4873,0.2662,0.00121,7.0
2.1268,0.5934,0.2657,0.001322,7.0
2.5168,0.6994,0.2652,0.001443,7.0
2.9071,0.8053,0.2646,0.001576,7.0
3.298,0.9111,0.2639,0.001724,7.0
3.6893,1.0167,0.2632,0.001886,7.0
4.0811,1.1221,0.2624,0.002066,7.0
4.4734,1.2272,0.2615,0.002261,7.0
4.8663,1.3322,0.2605,0.00247,7.0
5.2598,1.4369,0.2595,0.002689,7.0
5.6539,1.5412,0.2583,0.002912,7.0
6.0486,1.6453,0.2571,0.003128,7.0
6.4439,1.749,0.2558,0.003326,7.0
6.8399,1.8522,0.2544,0.00349,7.0
7.2367,1.9551,0.2529,0.003603,7.0
7.6341,2.0575,0.2514,0.003644,7.0
8.0323,2.1595,0.25,0.00359,7.0
8.4313,2.261,0.2485,0.003418,7.0
8.831,2.3621,0.2472,0.003102,7.0
9.2315,2.4629,0.246,0.00262,7.0
9.6328,2.5634,0.245,0.001948,7.0
10.0348,2.6638,0.2444,0.001069,7.0
10.4376,2.7641,0.2442,3.5e-05,7.0
10.8411,2.8647,0.2445,0.00137,7.0
11.2451,2.9656,0.2454,0.00294,7.0
11.6492,3.0671,0.247,0.004741,7.0
12.0533,3.1694,0.2494,0.006759,7.0
12.4569,3.2728,0.2527,0.008982,7.0
12.8597,3.3776,0.2569,0.011406,7.0
13.2614,3.4841,0.2622,0.01402,7.0
13.6616,3.5928,0.2686,0.016814,7.0
14.0598,3.7039,0.2761,0.019775,7.0
14.4559,3.8179,0.2849,0.022892,7.0
14.8494,3.9351,0.295,0.026155,7.0
15.2399,4.0561,0.3064,0.029554,7.0
15.6271,4.1812,0.3191,0.033085,7.0
16.0106,4.3107,0.3332,0.036745,7.0
16.3901,4.4453,0.3488,0.040533,7.0
16.7652,4.5851,0.3658,0.044454,7.0
17.1355,4.7308,0.3843,0.048514,7.0
17.5007,4.8826,0.4043,0.052723,7.0
17.8604,5.0409,0.4259,0.057091,7.0
18.2142,5.2062,0.449,0.06163,7.0
18.5618,5.3789,0.4739,0.066349,7.0
18.9029,5.5595,0.5004,0.071252,6.992
19.237,5.7482,0.5288,0.076335,6.811
19.5638,5.9456,0.5589,0.081582,6.636
19.8829,6.1521,0.5909,0.086961,6.467
20.1938,6.3683,0.6249,0.092398,6.302
20.4961,6.5945,0.6609,0.097919,6.138
20.7891,6.8311,0.6988,0.103829,5.974
21.0717,7.0781,0.739,0.110358,5.812
21.3426,7.3355,0.7815,0.117442,5.656
21.6007,7.603,0.8266,0.124959,5.506
21.8446,7.8807,0.8742,0.13275,5.366
22.0734,8.1681,0.9244,0.14061,5.237
22.2857,8.4652,0.9771,0.148274,5.122
22.4805,8.7714,1.0323,0.155423,5.025
22.6569,9.0865,1.0896,0.161675,4.931
22.8139,9.4099,1.1486,0.166595,4.894
22.951,9.7413,1.209,0.169707,4.843
23.0676,10.0802,1.2701,0.170517,4.843
23.1635,10.4264,1.3311,0.168563,4.843
23.2386,10.7797,1.3912,0.163829,4.899
23.2931,11.1403,1.4498,0.156551,4.967
23.3272,11.5088,1.506,0.146612,5.063
23.3414,11.8858,1.5591,0.134813,5.189
23.3361,12.2715,1.6087,0.122513,5.343
23.3119,12.6651,1.6546,0.110311,5.519
23.2694,13.0656,1.6965,0.098212,5.714
23.2099,13.472,1.7344,0.086558,5.925
23.1345,13.8829,1.7682,0.075614,6.15
23.0449,14.2971,1.798,0.065553,6.386
22.9425,14.7135,1.8241,0.0565,6.631
22.8291,15.1308,1.8468,0.048541,6.882
22.7062,15.5478,1.8664,0.041659,7.0
22.5756,15.9634,1.8832,0.035849,7.0
22.4385,16.3766,1.8978,0.031133,7.0
22.2963,16.7868,1.9105,0.027473,7.0
22.1497,17.1938,1.9218,0.024927,7.0
21.9995,17.5973,1.9323,0.023589,7.0
21.8461,17.997,1.9423,0.023491,7.0
21.6896,18.3926,1.9526,0.024579,7.0
21.5303,18.7836,1.9634,0.026782,7.0
21.3679,19.1695,1.9753,0.030016,7.0
21.2022,19.5499,1.9886,0.034193,7.0
21.0329,19.9242,2.0036,0.039221,7.0
20.8594,20.2918,2.0208,0.045007,7.0
20.6813,20.6522,2.0401,0.051463,7.0
20.4979,21.0047,2.0619,0.058502,7.0
20.3088,21.3486,2.0864,0.066041,6.856
20.1133,21.6833,2.1135,0.073996,6.62
19.9111,22.008,2.1434,0.082279,6.398
19.7015,22.3222,2.176,0.090792,6.191
19.4841,22.6251,2.2115,0.099421,5.999
19.2587,22.9161,2.2496,0.108029,5.825
19.0249,23.1944,2.2904,0.11645,5.668
18.7824,23.4596,2.3337,0.124481,5.53
18.5311,23.7109,2.3793,0.131882,5.413
18.2708,23.948,2.4269,0.138375,5.316
18.0016,24.1704,2.4762,0.143647,5.251
17.7232,24.3778,2.5268,0.147366,5.178
17.4356,24.57,2.5782,0.149209,5.178
17.1387,24.747,2.6298,0.149143,5.178
16.8323,24.9088,2.6813,0.147171,5.188
